DeDejson, Tom       706 S. Spruce Way   Maple Knoll    NJ21120     43.86
VanZuwstein, Henry  7000 New Arlington  Creek Grove    NJ48416     61.25
Truyovitch, Elaine  2286 Spruce Blvd.   River Crescent AZ40951     78.35
O'Zairtman, Natalie 523 Central Lane    Forestville    AZ13931      4.49
O'Vubson, Elaine    8747 Otis Drive     Elm Cliffs     OR69694     38.61
Baizberg, Sammy V.  4376 Otis St.       Oak Depths     AK34108     23.28
Kiossbury, Stanford 5525 East Spruce La Woodland       GA09908     50.31
Bruertson, Stanford 758 Lexington Alley Maple Bluffs   NJ51833     46.54
Makstein, Tom       4259 Lexington Aven Fair Bluffs    NJ65977      14.5
Dipbury, Stanford E 59 Cedar Road       Oakdale        AK51428     29.04
Youzson, Fenny      3207 Lexington Lane Milldale       NV00382     64.18
St.Coustford, Sammy 7049 S. Central Str Elmville       OR32531     11.63
DeParwright, Lester 5107 East Lexington Desert Peak    CA31647     78.64
Huerdstrom, Janet   6466 New Main St.   Sky Zither     AK64496     87.25
Trapbury, Tom A.    4387 Otis Drive     Desert Corners OR55291     24.99
O'Toundman, Bill I. 7359 S. Arlington S Glen Springs   NV34413      8.91
Trovford, Lester O. 7043 S. Main Street Glen Bluffs    AK27374     34.18
Zirdberg, Bill G.   2981 Arlington Road Ocean Crescent AZ83179     18.33
MacKiowberg, Natali 3877 East Cedar Str Springville    NV37472     23.45
Griwson, Tom R.     7030 S. Arlington B Sandy Valley   OR68726     66.99
Zouwman, Jane L.    5953 Central Drive  Shore Crescent AZ45258     78.88
O'Xiwstrom, Joe U.  7418 1st Way        Fairton        OH09604     51.21
McFloxby, Henry G.  4261 New Cedar Way  Newhaven       AK43644     92.86
MacBeybury, Joe E.  2365 East Central P Redwoodford    NV02120     46.65
Cujsky, Henry       4947 Cedar Way      Elm Springs    AK72847      42.5
St.Thardberg, Joe G 6874 Central Parkwa Oakford        OR76177     10.09
Drackovitch, Fenny  4757 Central Blvd.  Elmhaven       WV25121     77.28
VanBeahson, Joe U.  5316 S. Otis Street Fallen Zither  CA15214     75.46
Shivsky, Joe        4198 New Cedar Aven Pleasant ValleyGA80303      89.5
Xoumford, Fenny G.  3110 Euclid Way     Elmdale        AK20423     11.43
Weamsky, Lester N.  406 Park Blvd.      Shore Ridge    NY79323     50.39
O'Shordstein, Jane  6667 Euclid St.     Shoreview      AK05028     87.22
VanTueyman, Stanfor 342 Central Parkway Springford     WV07270     38.58
Trumsky, Stanford   3138 Main St.       Mapleview      NJ66942     16.53
Yuegbury, Stanford  1709 1st Street     Sandy Corners  CA01149     48.71
St.Gaimson, Henry A 7266 Main Lane      Woodford       WV64061     74.01
Dujwell, Janet F.   6679 Spruce Parkway Sky Corners    NJ51019     75.77
Drawford, Lester    1286 New Cedar Road Creek Knoll    OH11821      9.97
MacSnodford, Lester 7099 Arlington Alle Highdale       AK08271      8.58
McLachstein, Jane J 253 N. 1st Lane     Oakcrest       NY93850     83.61
Rishford, Henry C.  995 New 1st Blvd.   Oak Heights    AK82419     62.47
Gradstein, Janet H. 1195 Cedar Alley    Brook Bluffs   NY29790     99.27
Lioyman, Lester Q.  5034 N. Arlington S Desert Ridge   OH79431     20.72
Rikberg, Fenny M.   2725 New Arlington  Oakton         AZ35809     20.18
Truysky, Fenny X.   3347 Arlington Blvd Lone Palms     OR41304     65.09
Grifovitch, Fenny S 4006 Euclid Road    New Grove      CA49449        56
Chaicwell, Bob T.   4737 New Lexington  Lake Springs   WV69770      41.6

